time a_x a_y a_z m_x m_y m_z baro
5100 2.4766000 -0.3676355 -9.7115050 -27.9096980 -7.4564970 17.4754800 967.1628571
5130 2.5310867 -0.3637436 -9.8049110 -27.9096980 -7.7565002 16.9118040 967.1371429
5160 2.4878266 -0.3116519 -9.8007190 -27.8158720 -7.7565002 17.7573240 967.1114286
5190 2.4526497 -0.3710035 -9.8070060 -27.8627850 -7.8064956 17.5224610 967.0857143
5220 2.4174728 -0.4303551 -9.8132930 -27.9096980 -7.8564910 17.2875980 967.0600000
5250 2.4721093 -0.3930826 -9.7469810 -27.8158720 -7.5565033 16.8178560 967.0916667
5280 2.4487580 -0.4272116 -9.8465240 -28.0035400 -7.5565033 16.8178560 967.1233333
5310 2.5545876 -0.4447252 -9.7421910 -27.9096980 -8.0565030 17.3815300 967.1550000
5340 2.4566913 -0.4394861 -9.8869400 -27.8158720 -8.0565030 17.0996860 967.1866667
5370 2.4330404 -0.4270619 -9.8668810 -27.7220610 -7.5565033 16.6299600 967.2183333
5400 2.5192611 -0.2962340 -9.7291680 -28.0035400 -7.7565002 16.9118040 967.2500000
5430 2.5304877 -0.3279680 -9.8481710 -27.9566190 -8.1064986 17.2406155 967.2185671
5460 2.5417144 -0.3597020 -9.9671740 -27.9096980 -8.4564970 17.5694270 967.1871343
5490 2.4644752 -0.3983217 -9.8596960 -27.9096980 -8.4564970 16.7239070 967.1557014
5520 2.4421716 -0.4050577 -9.8695760 -27.9096980 -7.4564970 17.0057530 967.1242686
5550 2.3025120 -0.3141966 -9.8204780 -27.9096980 -7.4564970 17.4754800 967.0928357
5580 2.3532565 -0.3478766 -9.6417500 -28.0035400 -7.8564910 17.4754800 967.0614029
5610 2.4146287 -0.3918851 -9.8317050 -27.5344240 -8.2565000 16.7239070 967.0299700
5640 2.4229364 -0.3729495 -9.8216010 -27.5813295 -8.3564985 16.6299585 967.0614029
5670 2.4312441 -0.3540138 -9.8114970 -27.6282350 -8.4564970 16.5360100 967.0928357
5700 2.3525078 -0.4704717 -9.8869400 -27.7220610 -8.4564970 17.1936500 967.1242686
5730 2.3986120 -0.5170248 -9.8817005 -27.4405980 -8.4564970 17.3815300 967.1557014
5760 2.4908204 -0.3778143 -9.9195720 -27.3467710 -8.7565000 17.4754800 967.1871343
5790 2.5393195 -0.3926335 -9.7616500 -27.5344240 -8.4564970 16.8178560 967.2185671
5820 2.4550447 -0.5466632 -9.9367870 -27.5344240 -8.4564970 17.1936500 967.2500000
5850 2.4893235 -0.4858896 -9.9385080 -27.5344240 -8.6064985 17.3345650 967.2549950
5880 2.5236022 -0.4251160 -9.9402290 -27.5344240 -8.7565000 17.4754800 967.2599900
5910 2.5414152 -0.4561015 -9.8489190 -27.3467710 -8.8564910 17.4754800 967.2649850
5940 2.3758593 -0.3707789 -9.8321540 -27.5344240 -8.8564910 16.6299600 967.2699800
5970 2.3704705 -0.3573070 -10.0845290 -27.6282350 -8.6564940 17.0057530 967.2749750
6000 2.4017556 -0.4041595 -9.7089610 -27.5344240 -8.8564910 17.0057530 967.2799700
6030 2.4562422 -0.4278852 -9.7366530 -27.4405975 -8.7064970 17.0997015 967.2656886
6060 2.5107288 -0.4516109 -9.7643450 -27.3467710 -8.5565030 17.1936500 967.2514071
6090 2.4691155 -0.3420387 -9.7341080 -27.4405980 -8.4564970 17.8512730 967.2371257
6120 2.4562423 -0.4089496 -9.8969690 -27.3467710 -8.5565030 17.1936500 967.2228443
6150 2.3632855 -0.4378395 -9.7779665 -27.5344240 -9.1564940 17.0996860 967.2085629
6180 2.4116350 -0.4387376 -9.9061000 -27.3467710 -9.0565030 17.0996860 967.1942814
6210 2.5189620 -0.3540138 -9.9605870 -27.3467710 -9.0565030 17.4754800 967.1800000
6240 2.4349864 -0.4176315 -9.8650860 -27.5344240 -8.8564910 17.0057530 967.1857143
6270 2.4408992 -0.3875441 -9.8159880 -27.5344240 -8.8064955 17.2406165 967.1914286
6300 2.4468120 -0.3574566 -9.7668900 -27.5344240 -8.7565000 17.4754800 967.1971429
6330 2.5060885 -0.3671864 -9.7932350 -27.2529600 -8.8564910 17.2875980 967.2028571
6360 2.3890320 -0.5255571 -9.9174770 -27.5344240 -8.7565000 16.6299600 967.2085714
6390 2.5162673 -0.3071612 -9.8528110 -27.7220610 -8.7565000 17.0057530 967.2142857
6420 2.3779550 -0.3284171 -9.9906740 -27.5344240 -8.8564910 17.0057530 967.2200000
6450 2.4270530 -0.4062552 -9.7070140 -27.5344240 -9.0565030 17.0996860 967.2176923
6480 2.4483836 -0.4083508 -9.7033465 -27.6282425 -8.9065015 16.8648230 967.2153846
6510 2.4697142 -0.4104465 -9.6996790 -27.7220610 -8.7565000 16.6299600 967.2130769
6540 2.5325835 -0.4775070 -9.8062580 -27.5344240 -8.5565030 17.1936500 967.2107692
6570 2.4866290 -0.4019142 -9.8827490 -27.5344240 -8.8564910 17.0057530 967.2084615
6600 2.4219635 -0.3369493 -10.0146250 -27.5344240 -8.8564910 17.0057530 967.2061538
6630 2.5813820 -0.4722679 -9.7800630 -27.6282350 -8.7565000 16.8178560 967.2038462
6660 2.4640260 -0.5113367 -9.8596960 -27.6282350 -8.8564910 17.2875980 967.2015385
6690 2.4660468 -0.4965923 -9.8848440 -27.5813295 -8.9564970 17.1936420 967.1992308
6720 2.4680676 -0.4818480 -9.9099920 -27.5344240 -9.0565030 17.0996860 967.1969231
6750 2.5182133 -0.4454736 -9.9282540 -27.5344240 -9.0565030 17.0996860 967.1946154
6780 2.5161178 -0.4544550 -9.7757220 -27.5344240 -8.8564910 17.0057530 967.1923077
6810 2.5298890 -0.4107459 -9.7917380 -27.7220610 -8.9564970 16.6299600 967.1900000
6840 2.5412655 -0.3498226 -9.8833475 -27.5344240 -8.8564910 17.4754800 967.2057143
6870 2.5309370 -0.4024381 -9.8942748 -27.4875110 -9.0064925 17.1936420 967.2214286
6900 2.5206084 -0.4550537 -9.9052020 -27.4405980 -9.1564940 16.9118040 967.2371429
6930 2.5038433 -0.4504133 -9.8686780 -27.4405980 -9.1564940 16.4420620 967.2528571
6960 2.5300388 -0.4471202 -9.9560970 -27.6282350 -9.0565030 16.8178560 967.2685714
6990 2.4402256 -0.3935317 -9.8032640 -27.5344240 -9.0565030 17.0996860 967.2842857
7020 2.6494904 -0.4950206 -9.8120960 -27.4405980 -9.1564940 17.2875980 967.3000000
7050 2.5589287 -0.4465215 -9.6511800 -27.4405980 -9.0565030 16.4420620 967.2783333
7080 2.6176066 -0.3656895 -9.6915960 -28.0035400 -8.6564940 17.0057530 967.2566667
7110 2.5405918 -0.3725004 -9.8001950 -27.9566190 -8.5564955 17.0997015 967.2350000
7140 2.4635770 -0.3793112 -9.9087940 -27.9096980 -8.4564970 17.1936500 967.2133333
7170 2.4792943 -0.4330495 -9.8358965 -27.6282350 -9.3564910 16.6299600 967.1916667
7200 2.6078768 -0.3963758 -9.4541900 -27.6282350 -9.2565000 15.9723360 967.1700000
7230 2.6493406 -0.3900888 -9.8456260 -27.5344240 -8.8564910 16.6299600 967.4257086
7260 2.6713450 -0.3420387 -9.8242210 -27.5344240 -9.1564940 16.6299600 967.6814171
7290 2.6601184 -0.3695814 -9.8246700 -27.5813295 -9.2564925 16.6299600 967.9371257
7320 2.6488917 -0.3971242 -9.8251190 -27.6282350 -9.3564910 16.6299600 968.1928343
7350 2.5240512 -0.4866380 -9.8366440 -27.3467710 -9.0565030 16.6299600 968.4485429
7380 2.5586293 -0.4138893 -9.7815590 -27.5344240 -9.0565030 16.2541800 968.7042514
7410 2.5851243 -0.4975653 -9.8540090 -27.7220610 -9.3564910 16.4420620 968.9599600
7440 2.5894651 -0.4604425 -9.7559620 -27.4405980 -9.1564940 16.6299600 968.7042514
7470 2.5629702 -0.5147795 -9.8558040 -27.5344240 -9.0565030 16.2541800 968.4485429
7500 2.5831783 -0.3944298 -9.7902410 -27.6282350 -9.0565030 16.4420620 968.1928343
7530 2.5870703 -0.3826792 -9.7987730 -27.7689665 -9.0565030 16.7239075 967.9371257
7560 2.5909622 -0.3709287 -9.8073050 -27.9096980 -9.0565030 17.0057530 967.6814171
7590 2.5572822 -0.2818639 -9.9486120 -27.4405980 -9.1564940 16.9118040 967.4257086
7620 2.6020390 -0.2836601 -9.7987740 -27.5344240 -9.1564940 16.6299600 967.1700000
7650 2.5083340 -0.3459306 -9.9846870 -27.6282350 -8.8564910 17.2875980 967.1730738
7680 2.5083340 -0.2885998 -9.8742160 -27.5344240 -9.3564910 16.4420620 967.1761477
7710 2.5135731 -0.2962340 -9.7779665 -27.4875110 -9.3564910 16.5360110 967.1792215
7740 2.5188122 -0.3038681 -9.6817170 -27.4405980 -9.3564910 16.6299600 967.1822954
7770 2.4911196 -0.4257147 -9.8778090 -27.5344240 -9.1564940 16.6299600 967.1853692
7800 2.5245004 -0.4784052 -9.7980250 -27.4405980 -9.1564940 16.9118040 967.1884431
7830 2.4526496 -0.3823050 -9.8412850 -27.7220610 -9.0565030 17.0996860 967.1915169
7860 2.5715024 -0.3466791 -9.7535680 -27.5344240 -9.4564970 16.9118040 967.1945908
7890 2.5441096 -0.3802094 -9.6207930 -27.4405980 -9.1564940 16.6299600 967.1976646
7920 2.5137228 -0.3903882 -9.7646440 -27.6282350 -9.1064985 16.5360110 967.2007385
7950 2.4833360 -0.4005670 -9.9084950 -27.8158720 -9.0565030 16.4420620 967.2038123
7980 2.4715104 -0.4502637 -9.7291680 -27.4405980 -9.3564910 17.0996860 967.2068862
8010 2.5337810 -0.4306544 -9.8492180 -27.1591340 -9.7565000 16.7239070 967.2099600
8040 2.6053321 -0.2812651 -9.9186740 -27.2529600 -9.0565030 16.4420620 967.2130400
8070 2.6143136 -0.2576143 -9.8414345 -27.3467710 -9.0565030 17.0996860 967.2161200
8100 2.5677602 -0.2897974 -9.8120960 -27.5344240 -9.3564910 16.9118040 967.2192000
8130 2.5924590 -0.3133733 -9.8086530 -27.4405975 -9.3564910 16.9118040 967.2222800
